file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,167,css,619cc32e,Rita Zaarour,2025-10-24,21:04:16,-07:00,2025-10-24T21:04:16-07:00,0,0
style.css,168,css,619cc32e,Rita Zaarour,2025-10-24,21:04:16,-07:00,2025-10-24T21:04:16-07:00,0,0
style.css,169,css,619cc32e,Rita Zaarour,2025-10-24,21:04:16,-07:00,2025-10-24T21:04:16-07:00,0,2
style.css,170,css,74892e8a,Rita Zaarour,2025-10-24,21:13:05,-07:00,2025-10-24T21:13:05-07:00,1,12
style.css,171,css,74892e8a,Rita Zaarour,2025-10-24,21:13:05,-07:00,2025-10-24T21:13:05-07:00,1,12
style.css,172,css,4dad94cd,Rita Zaarour,2025-10-27,11:34:22,-07:00,2025-10-27T11:34:22-07:00,1,22
style.css,173,css,619cc32e,Rita Zaarour,2025-10-24,21:04:16,-07:00,2025-10-24T21:04:16-07:00,1,0
style.css,174,css,619cc32e,Rita Zaarour,2025-10-24,21:04:16,-07:00,2025-10-24T21:04:16-07:00,0,0
style.css,175,css,619cc32e,Rita Zaarour,2025-10-24,21:04:16,-07:00,2025-10-24T21:04:16-07:00,0,2
style.css,176,css,2093b26c,Rita Zaarour,2025-10-24,21:08:46,-07:00,2025-10-24T21:08:46-07:00,1,16
style.css,177,css,619cc32e,Rita Zaarour,2025-10-24,21:04:16,-07:00,2025-10-24T21:04:16-07:00,0,0
style.css,178,css,619cc32e,Rita Zaarour,2025-10-24,21:04:16,-07:00,2025-10-24T21:04:16-07:00,0,0
style.css,179,css,619cc32e,Rita Zaarour,2025-10-24,21:04:16,-07:00,2025-10-24T21:04:16-07:00,0,2
style.css,180,css,2093b26c,Rita Zaarour,2025-10-24,21:08:46,-07:00,2025-10-24T21:08:46-07:00,1,16
style.css,181,css,57c9915f,Rita Zaarour,2025-10-28,21:55:02,-07:00,2025-10-28T21:55:02-07:00,0,0
style.css,182,css,57c9915f,Rita Zaarour,2025-10-28,21:55:02,-07:00,2025-10-28T21:55:02-07:00,0,0
style.css,183,css,57c9915f,Rita Zaarour,2025-10-28,21:55:02,-07:00,2025-10-28T21:55:02-07:00,0,7
style.css,184,css,57c9915f,Rita Zaarour,2025-10-28,21:55:02,-07:00,2025-10-28T21:55:02-07:00,1,21
style.css,185,css,50cef467,Rita Zaarour,2025-10-29,11:14:25,-07:00,2025-10-29T11:14:25-07:00,1,12
style.css,186,css,57c9915f,Rita Zaarour,2025-10-28,21:55:02,-07:00,2025-10-28T21:55:02-07:00,1,57
style.css,187,css,57c9915f,Rita Zaarour,2025-10-28,21:55:02,-07:00,2025-10-28T21:55:02-07:00,1,7
style.css,188,css,50cef467,Rita Zaarour,2025-10-29,11:14:25,-07:00,2025-10-29T11:14:25-07:00,1,11
style.css,189,css,50cef467,Rita Zaarour,2025-10-29,11:14:25,-07:00,2025-10-29T11:14:25-07:00,1,10
style.css,190,css,50cef467,Rita Zaarour,2025-10-29,11:14:25,-07:00,2025-10-29T11:14:25-07:00,0,0
style.css,191,css,50cef467,Rita Zaarour,2025-10-29,11:14:25,-07:00,2025-10-29T11:14:25-07:00,0,0
style.css,192,css,50cef467,Rita Zaarour,2025-10-29,11:14:25,-07:00,2025-10-29T11:14:25-07:00,0,10
style.css,193,css,50cef467,Rita Zaarour,2025-10-29,11:14:25,-07:00,2025-10-29T11:14:25-07:00,1,12
style.css,194,css,50cef467,Rita Zaarour,2025-10-29,11:14:25,-07:00,2025-10-29T11:14:25-07:00,1,18
style.css,195,css,65cf8602,Rita Zaarour,2025-10-29,13:14:03,-07:00,2025-10-29T13:14:03-07:00,1,10
style.css,196,css,50cef467,Rita Zaarour,2025-10-29,11:14:25,-07:00,2025-10-29T11:14:25-07:00,0,0
style.css,197,css,65cf8602,Rita Zaarour,2025-10-29,13:14:03,-07:00,2025-10-29T13:14:03-07:00,0,0
style.css,198,css,50cef467,Rita Zaarour,2025-10-29,11:14:25,-07:00,2025-10-29T11:14:25-07:00,0,15
style.css,199,css,dbb7e338,Rita Zaarour,2025-10-29,12:43:50,-07:00,2025-10-29T12:43:50-07:00,1,20
style.css,200,css,dbb7e338,Rita Zaarour,2025-10-29,12:43:50,-07:00,2025-10-29T12:43:50-07:00,1,11
style.css,201,css,50cef467,Rita Zaarour,2025-10-29,11:14:25,-07:00,2025-10-29T11:14:25-07:00,1,18
style.css,202,css,dbb7e338,Rita Zaarour,2025-10-29,12:43:50,-07:00,2025-10-29T12:43:50-07:00,1,23
style.css,203,css,65cf8602,Rita Zaarour,2025-10-29,13:14:03,-07:00,2025-10-29T13:14:03-07:00,1,17
style.css,204,css,50cef467,Rita Zaarour,2025-10-29,11:14:25,-07:00,2025-10-29T11:14:25-07:00,0,0
style.css,205,css,50cef467,Rita Zaarour,2025-10-29,11:14:25,-07:00,2025-10-29T11:14:25-07:00,0,0
style.css,206,css,5ab3750f,Rita Zaarour,2025-10-29,13:18:34,-07:00,2025-10-29T13:18:34-07:00,0,10
style.css,207,css,5ab3750f,Rita Zaarour,2025-10-29,13:18:34,-07:00,2025-10-29T13:18:34-07:00,1,12
style.css,208,css,5ab3750f,Rita Zaarour,2025-10-29,13:18:34,-07:00,2025-10-29T13:18:34-07:00,1,6
style.css,209,css,814df896,Rita Zaarour,2025-11-02,16:55:26,-08:00,2025-11-02T16:55:26-08:00,1,7
style.css,210,css,c7cbfacb,Rita Zaarour,2025-10-30,15:23:55,-07:00,2025-10-30T15:23:55-07:00,1,18
style.css,211,css,5ab3750f,Rita Zaarour,2025-10-29,13:18:34,-07:00,2025-10-29T13:18:34-07:00,0,0
style.css,212,css,5ab3750f,Rita Zaarour,2025-10-29,13:18:34,-07:00,2025-10-29T13:18:34-07:00,0,0
style.css,213,css,4f75a39f,Rita Zaarour,2025-10-30,20:28:23,-07:00,2025-10-30T20:28:23-07:00,0,10
style.css,214,css,615ddb13,Rita Zaarour,2025-10-30,20:34:49,-07:00,2025-10-30T20:34:49-07:00,1,10
style.css,215,css,814df896,Rita Zaarour,2025-11-02,16:55:26,-08:00,2025-11-02T16:55:26-08:00,1,15
style.css,216,css,4f75a39f,Rita Zaarour,2025-10-30,20:28:23,-07:00,2025-10-30T20:28:23-07:00,1,18
style.css,217,css,4f75a39f,Rita Zaarour,2025-10-30,20:28:23,-07:00,2025-10-30T20:28:23-07:00,1,17
style.css,218,css,814df896,Rita Zaarour,2025-11-02,16:55:26,-08:00,2025-11-02T16:55:26-08:00,1,10
style.css,219,css,615ddb13,Rita Zaarour,2025-10-30,20:34:49,-07:00,2025-10-30T20:34:49-07:00,1,13
style.css,220,css,615ddb13,Rita Zaarour,2025-10-30,20:34:49,-07:00,2025-10-30T20:34:49-07:00,0,0
style.css,221,css,615ddb13,Rita Zaarour,2025-10-30,20:34:49,-07:00,2025-10-30T20:34:49-07:00,0,0
